id,name,mass_g,fall,year,latitude,longitude,class
5295,Castrovillari,15000,Fell,1583,39.8,16.2,Stone-uncl
16745,Morito,10100000,Found,1600,27.05,-105.43333,"Iron, IIIAB"
12069,Jalandhar,1967,Fell,1621,31,75,Iron
23732,Stretchleigh,10400,Fell,1623,50.38333,-3.95,Stone-uncl
11855,Hatford,29000,Fell,1628,51.65,-1.51667,Stone-uncl
16692,Minamino,1040,Fell,1632,35.07833,136.93333,L
16805,Mount Vaisi,17000,Fell,1637,44.08333,6.86667,Stone-uncl
18033,Ortenau,4500,Fell,1671,48.5,8,Stone-uncl
23457,Schellin,7000,Fell,1715,53.35,15.05,L
23615,Siratik,1700,Found,1716,14,-11,"Iron, IIAB"
23722,Steinbach,98000,Found,1724,50.5,12.5,"Iron, IVA-an"
22396,Rasgrad,24700,Fell,1740,43.5,26.53333,Stone-uncl
17994,Ogi,14360,Fell,1741,33.28333,130.2,H6
12356,Krasnojarsk,700000,Found,1749,54.9,91.8,"Pallasite, PMG-an"
11916,Hraschina,49000,Fell,1751,46.1,16.33333,"Iron, IID"
14757,Luponnas,14000,Fell,1753,46.21667,5,H3-5
23776,Tabor,7540,Fell,1753,49.4,14.65,H5
453,Albareto,2000,Fell,1766,44.65,11.01667,L/LL4
14724,Lucé,3500,Fell,1768,47.85,0.48333,L6
15446,Mauerkirchen,19000,Fell,1768,48.18333,13.13333,L6
23495,Sena,4000,Fell,1773,41.71667,-0.05,H4
22642,Rodach,2900,Fell,1775,50.35,10.8,Stone-uncl
24018,Toluca,3000000,Found,1776,19.56667,-99.56667,"Iron, IAB-sLL"
14695,Longchang,158500,Found,1781,29.3,105.3,"Iron, IVA-an"
5015,Bendegó,5360000,Found,1784,-10.11667,-39.2,"Iron, IC"
7775,Eichstädt,3000,Fell,1785,48.9,11.21667,H5
12291,Kharkov,1500,Fell,1787,50.625,35.075,L6
4942,Barbotan,6400,Fell,1790,43.95,-0.05,H5
30381,Zacatecas (1792),1000000,Found,1792,22.81667,-102.56667,"Iron, ungrouped"
5261,Cape of Good Hope,136000,Found,1793,-33.5,26,"Iron, IVB"
23586,Siena,3700,Fell,1794,43.11667,11.6,LL5
24325,Wold Cottage,25000,Fell,1795,54.13667,-0.41333,L6
5063,Bjelaja Zerkov,1850,Fell,1796,49.78333,30.16667,H6
18876,Portugal,4500,Fell,1796,38.5,-8,Stone-uncl
18884,Prambanan,500000,Found,1797,-7.56667,110.83333,"Iron, ungrouped"
5011,Benares (a),3700,Fell,1798,25.36667,82.91667,LL4
23111,Salles,9000,Fell,1798,46.05,4.63333,L5
2320,Apt,3200,Fell,1803,43.86667,5.38333,L6
12434,L'Aigle,37000,Fell,1803,48.76667,0.63333,L6
15443,Mässing,1600,Fell,1803,48.13333,12.61667,Howardite
5326,Charcas,1400000,Found,1804,23.08333,-101.01667,"Iron, IIIAB"
7751,Durango,164000,Found,1804,0,0,"Iron, IIIAB"
11884,High Possil,4500,Fell,1804,55.9,-4.23333,L6
16705,Misteca,10000,Found,1804,16.8,-97.1,"Iron, ungrouped"
5062,Bitburg,1500000,Found,1805,49.96667,6.53333,"Iron, IAB complex"
7718,Doroninsk,3891,Fell,1805,51.2,112.3,H5-7
448,Alais,6000,Fell,1806,44.11667,4.08333,CI1
24004,Timochin,65500,Fell,1807,54.5,35.2,H5
24249,Weston,150000,Fell,1807,41.266667,-73.266667,H4
5110,Borgo San Donino,1676,Fell,1808,44.86667,10.05,LL6
14661,Lissa,12800,Fell,1808,50.2,14.85,L6
22548,Red River,800000,Found,1808,32,-95,"Iron, IIIAB"
23713,Stannern,52000,Fell,1808,49.28333,15.56667,Eucrite-mmict
5130,Brahin,823000,Found,1810,52.5,30.33333,"Pallasite, PMG"
5296,Caswell County,1360,Fell,1810,36.5,-79.25,OC
5329,Charsonville,27000,Fell,1810,47.93333,1.56667,H6
16737,Mooresfort,3520,Fell,1810,52.45,-8.33333,H5
23167,Santa Rosa,825000,Found,1810,5.91667,-73,"Iron, IC"
5029,Berlanguillas,1440,Fell,1811,41.68333,-3.8,L6
12370,Kuleschovka,6000,Fell,1811,50.75,33.5,L6
5325,Chantonnay,31500,Fell,1812,46.68333,1.05,L6
10049,Erxleben,2250,Fell,1812,52.21667,11.25,H6
24036,Toulouse,1030,Fell,1812,43.6,1.4,H6
14652,Limerick,50000,Fell,1813,52.56667,-8.78333,H5
392,Agen,30000,Fell,1814,44.21667,0.61667,H5
4917,Bachmut,18000,Fell,1814,48.6,38,L6
12763,Lenarto,108500,Found,1814,49,21,"Iron, IIIAB"
5331,Chassigny,4000,Fell,1815,47.71667,5.36667,Martian (chassignite)
7750,Durala,13200,Fell,1815,30.3,76.63333,L6
5203,Cambria,16300,Found,1818,43.2,-78.8,"Iron, ungrouped"
5262,Cape York,58200000,Found,1818,76.13333,-64.93333,"Iron, IIIAB"
23501,Seres,8500,Fell,1818,41.05,23.56667,H4
23645,Slobodka,2750,Fell,1818,55,35,L4
30379,Zaborzika,3867,Fell,1818,50.28333,27.68333,L6
5172,Burlington,68000,Found,1819,42.75,-75.18333,"Iron, IIIE"
12202,Jonzac,5000,Fell,1819,45.43333,-0.45,Eucrite-mmict
18853,Pohlitz,3000,Fell,1819,50.93333,12.13333,L5
14670,Lixna,5213,Fell,1820,56,26.43333,H4
12214,Juvinas,91000,Fell,1821,44.71667,4.3,Eucrite-mmict
10839,Futtehpur,4000,Fell,1822,25.95,80.81667,L6
11444,Guilford County,1100,Found,1822,35.56667,-79.83333,"Iron, IIIAB"
12025,Imilac,920000,Found,1822,-24.20333,-68.80667,"Pallasite, PMG"
16984,Nobleborough,2300,Fell,1823,44.08333,-69.48333,Eucrite-pmict
22586,Renazzo,1000,Fell,1824,44.76667,11.28333,CR2
24037,Tounkin,2000,Fell,1824,51.73333,102.53333,OC
30397,Zebrak,2000,Fell,1824,49.88333,13.91667,H5
11904,Honolulu,2420,Fell,1825,21.3,-157.86667,L5
16904,Nanjemoy,7500,Fell,1825,38.41667,-77.16667,H6
30349,Yanhuitlan,421000,Found,1825,17.53333,-97.35,"Iron, IVA"
18176,Pavlograd,40000,Fell,1826,48.53333,35.98333,L6
5042,Bialystok,4000,Fell,1827,53.1,23.2,Eucrite-pmict
7728,Drake Creek,5000,Fell,1827,36.4,-86.5,L6
12393,La Caille,626000,Found,1828,43.73333,6.78333,"Iron, ungrouped"
22603,Richmond,1800,Fell,1828,37.46667,-77.5,LL5
5099,Bohumilitz,59000,Found,1829,49.05,13.76667,"Iron, IAB-MG"
10164,Forsyth,16300,Fell,1829,33.01667,-83.96667,L6
12355,Krasnoi-Ugol,2440,Fell,1829,54.03333,40.9,L6
12740,Launton,1060,Fell,1830,51.9,-1.11667,L6
24191,Vouillé,20000,Fell,1831,46.63333,0.16667,L6
24244,Wessely,3750,Fell,1831,48.95,17.38333,H5
24204,Walker County,74800,Found,1832,34,-87.16667,"Iron, IIAB"
5330,Charwallas,12000,Fell,1834,29.48333,75.5,H6
14651,Lime Creek,20000,Found,1834,31.55,-87.51667,"Iron, IAB-ung"
18002,Okniny,12000,Fell,1834,50.83333,25.5,LL6
5328,Charlotte,4300,Fell,1835,36.16667,-87.33333,"Iron, IVA"
10912,Gibeon,26000000,Found,1836,-25.5,18,"Iron, IVA"
15370,Macau,1500,Fell,1836,-5.2,-36.66667,H5
15438,Mascombes,1000,Fell,1836,45.36667,1.86667,L6
24257,Wichita County,145000,Found,1836,34.06667,-98.91667,"Iron, IAB-MG"
5387,Coahuila,2100000,Found,1837,28.7,-102.73333,"Iron, IIAB"
5450,Cosby's Creek,960000,Found,1837,35.78333,-83.25,"Iron, IAB-MG"
10051,Esnandes,1500,Fell,1837,46.25,-1.1,L6
11207,Gross-Divina,10500,Fell,1837,49.26667,18.71667,H5
30366,Yonozu,31650,Fell,1837,37.75,139,H4/5
427,Akbarpur,1800,Fell,1838,29.71667,77.95,H4
5320,Chandakapur,8800,Fell,1838,20.26667,76.01667,L5
5397,Cold Bokkeveld,5200,Fell,1838,-33.13333,19.38333,CM2
23602,Simbirsk (of P. Partsch),1500,Found,1838,54.3,48.4,OC
18906,Putnam County,32700,Found,1839,33.25,-83.25,"Iron, IVA"
23650,Smithland,5000,Found,1839,37.13333,-88.4,"Iron, IVA"
5282,Carthage,127000,Found,1840,36.26667,-85.98333,"Iron, IIIAB"
5308,Cereseto,6460,Fell,1840,45.08333,8.3,H5
12256,Karakol,3000,Fell,1840,47.21667,81.01667,LL6
15388,Magura,150000,Found,1840,49.33333,19.48333,"Iron, IAB-MG"
23654,Smithville,70500,Found,1840,35.98333,-85.85,"Iron, IAB-MG"
5332,Château-Renard,30000,Fell,1841,47.93333,2.91667,L6
11426,Grüneberg,1000,Fell,1841,51.93333,15.5,H4
18803,Petropavlovsk,7000,Found,1841,53.35,87.18333,"Iron, ungrouped"
23082,St. Christophe-la-Chartreuse,5500,Fell,1841,46.95,-1.5,L6
4900,Aumieres,2000,Fell,1842,44.33333,3.23333,L6
4916,Babb's Mill (Troost's Iron),6400,Found,1842,36.3,-82.88333,"Iron, ungrouped"
4946,Barea,3200,Fell,1842,42.38333,-2.5,Mesosiderite-A1
16640,Milena,10000,Fell,1842,46.18333,16.1,L6
5027,Berdyansk,2250,Found,1843,46.75,36.81667,L6
5059,Bishopville,6000,Fell,1843,34.16667,-80.28333,Aubrite
12332,Klein-Wenden,3250,Fell,1843,51.6,10.8,H6
24135,Utrecht,9700,Fell,1843,52.11667,5.18333,L6
24165,Verkhne Tschirskaia,8000,Fell,1843,48.41667,43.2,H5
5451,Cosina,1200,Fell,1844,21.16667,-100.86667,H5
10078,Favars,1500,Fell,1844,44.38333,2.81667,H5
22779,Ruff's Mountain,53070,Found,1844,34.3,-81.4,"Iron, IIIAB"
4951,Barratta,200000,Found,1845,-35.3,144.56667,L4
12748,Le Pressoir,3000,Fell,1845,47.16667,0.43333,H5
2351,Assam,2700,Found,1846,26,92,L5
5260,Cape Girardeau,2300,Fell,1846,37.26667,-89.58333,H6
6637,Deep Springs,11500,Found,1846,36.5,-79.75,"Iron, ungrouped"
16726,Monte Milone,3130,Fell,1846,43.26667,13.35,L5
16949,Netschaëvo,250000,Found,1846,54.23333,35.15,"Iron, IIE-an"
23460,Schönenberg,8000,Fell,1846,48.11667,10.46667,L6
5133,Braunau,39000,Fell,1847,50.6,16.3,"Iron, IIAB"
15424,Marion (Iowa),28400,Fell,1847,41.9,-91.6,L6
16877,Murfreesboro,8600,Found,1847,35.83333,-86.41667,"Iron, ungrouped"
23474,Seeläsgen,102000,Found,1847,52.26667,15.55,"Iron, IAB-MG"
23612,Singhur,14180,Found,1847,18.31667,73.91667,Pallasite?
6699,Dharwar,1800,Fell,1848,14.88333,75.6,OC
15429,Marmande,3000,Fell,1848,44.5,0.15,L5
