id,name,mass (g),fall,year,GeoLocation
1,Aachen,21,Fell,1880,"(50.775, 6.08333)"
2,Aarhus,720,Fell,1951,"(56.18333, 10.23333)"
4,Abajo,331,Found,1982,"(26.8, -105.41667)"
5,Abbott,21100,Found,1951,"(36.3, -104.28333)"
6,Abee,107000,Fell,1952,"(54.21667, -113.0)"
7,Abernathy,2914,Found,1941,"(33.85, -101.8)"
8,Abo,1.2,Found,1840,"(60.43333, 22.3)"
9,Abu Moharek,4500,Found,1997,"(27.23944, 29.83583)"
10,Acapulco,1914,Fell,1976,"(16.88333, -99.9)"
11,Acfer 001,6700,Found,1989,"(27.5, 3.61667)"
12,Acfer 002,228,Found,1989,"(27.61667, 3.85)"
13,Acfer 003,145,Found,1989,"(27.81667, 4.03333)"
14,Acfer 004,1020,Found,1989,"(27.58333, 3.81667)"
15,Acfer 005,115,Found,1989,"(27.6, 3.83333)"
16,Acfer 006,561,Found,1989,"(27.63333, 3.96667)"
17,Acfer 007,542,Found,1989,"(27.51667, 3.65)"
18,Acfer 008,205,Found,1989,"(27.53333, 3.7)"
19,Acfer 009,127,Found,1989,"(27.73333, 4.08333)"
20,Acfer 010,276,Found,1989,"(27.75, 4.1)"
21,Acfer 011,3800,Found,1989,"(27.75, 4.16667)"
22,Acfer 012,98,Found,1989,"(27.8, 4.16667)"
23,Acfer 013,490,Found,1989,"(27.83333, 4.28333)"
24,Acfer 014,307,Found,1989,"(27.8, 4.46667)"
25,Acfer 015,98,Found,1989,"(27.78333, 4.28333)"
26,Acfer 016,111,Found,1989,"(27.71667, 4.48333)"
27,Acfer 017,446,Found,1989,"(27.73333, 4.4)"
28,Acfer 018,207,Found,1989,"(27.7, 4.08333)"
29,Acfer 019,581,Found,1989,"(27.7, 4.06667)"
30,Acfer 020,708,Found,1989,"(27.7, 4.06667)"
31,Acfer 021,2140,Found,1989,"(27.55, 3.61667)"
32,Acfer 022,192,Found,1989,"(27.51667, 3.83333)"
33,Acfer 023,118,Found,1989,"(27.51667, 3.91667)"
34,Acfer 024,1464,Found,1989,"(27.55, 3.93333)"
35,Acfer 025,920,Found,1989,"(27.58333, 3.96667)"
36,Acfer 026,88,Found,1989,"(27.61667, 4.05)"
37,Acfer 027,206,Found,1989,"(27.66667, 4.2)"
38,Acfer 028,3130,Found,1989,"(27.66667, 4.25)"
39,Acfer 029,98,Found,1989,"(27.68333, 4.33333)"
40,Acfer 030,123,Found,1989,"(27.68333, 4.41667)"
41,Acfer 031,2016,Found,1989,"(27.66667, 4.35)"
42,Acfer 032,495,Found,1989,"(27.65, 4.46667)"
43,Acfer 033,93,Found,1989,"(27.65, 4.43333)"
44,Acfer 034,184,Found,1989,"(27.63333, 4.35)"
45,Acfer 035,36,Found,1989,"(27.6, 4.3)"
46,Acfer 036,112,Found,1989,"(27.58333, 4.25)"
47,Acfer 037,385,Found,1989,"(27.55, 4.13333)"
48,Acfer 038,962,Found,1989,"(27.53333, 4.0)"
49,Acfer 039,225,Found,1989,"(27.53333, 3.91667)"
50,Acfer 040,146,Found,1989,"(27.46667, 3.78333)"
51,Acfer 041,134,Found,1989,"(27.43333, 3.71667)"
52,Acfer 042,246,Found,1989,"(27.46667, 3.83333)"
53,Acfer 043,120,Found,1989,"(27.51667, 3.91667)"
54,Acfer 044,195,Found,1989,"(27.55, 4.0)"
